epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.619,4.23105,5.59383,4.07729,0.46192,0.28272,0.22404,0.08223,4.26607,5.32564,4.15888,0.000302377,0.000302377,0.000302377
2,461.057,4.18302,5.55449,4.03315,0.25413,0.28491,0.21846,0.08075,4.30578,5.9109,4.21058,0.000601381,0.000601381,0.000601381
3,682.995,4.21686,5.64195,4.05547,0.31448,0.26148,0.20179,0.07364,4.33576,5.40364,4.20881,0.000896386,0.000896386,0.000896386
4,904.925,4.2762,5.64315,4.07471,0.31095,0.25922,0.22739,0.0824,4.31086,5.90927,4.18284,0.000891002,0.000891002,0.000891002
5,1537.3,4.24585,5.59777,4.02242,0.46577,0.25003,0.22918,0.08073,4.43223,5.08699,4.2055,0.000885002,0.000885002,0.000885002
6,2349.17,4.18456,5.62746,4.02229,0.42835,0.26354,0.22277,0.07799,4.34074,5.10653,4.17626,0.000879003,0.000879003,0.000879003
7,3160.96,4.22057,5.68308,4.08522,0.2449,0.24718,0.20055,0.07324,4.36129,6.20833,4.23558,0.000873004,0.000873004,0.000873004
8,3972.31,4.18474,5.57034,4.03659,0.33747,0.29442,0.24615,0.09392,4.31196,5.04278,4.21192,0.000867004,0.000867004,0.000867004
9,4784.46,4.21197,5.39406,4.01385,0.46676,0.29968,0.24215,0.08676,4.38375,5.4678,4.26486,0.000861005,0.000861005,0.000861005
10,5596.31,4.15986,5.4816,4.03258,0.26606,0.30843,0.24932,0.09253,4.32591,5.98175,4.16961,0.000855005,0.000855005,0.000855005
11,6407.19,4.18349,5.36739,4.00219,0.29772,0.27816,0.26454,0.09634,4.33175,5.00549,4.1793,0.000849006,0.000849006,0.000849006
12,7219.1,4.1479,5.31978,3.95918,0.37887,0.30577,0.27635,0.1059,4.35576,5.54844,4.20125,0.000843007,0.000843007,0.000843007
13,8033.19,4.15881,5.34042,3.97313,0.342,0.2842,0.25244,0.09233,4.27409,5.5819,4.12426,0.000837007,0.000837007,0.000837007
14,8845.4,4.15547,5.31633,3.9705,0.34652,0.36968,0.27323,0.09958,4.29438,6.31788,4.12779,0.000831008,0.000831008,0.000831008
15,9658.2,4.18543,5.25273,3.97566,0.32795,0.32511,0.27016,0.09799,4.3297,8.1435,4.15032,0.000825008,0.000825008,0.000825008
16,9881.1,4.13217,5.15892,3.94126,0.35708,0.31288,0.27493,0.10333,4.32503,5.16626,4.18905,0.000819009,0.000819009,0.000819009
17,10474.4,4.13425,5.19629,3.97807,0.47989,0.28228,0.28006,0.10858,4.30177,5.76127,4.16884,0.00081301,0.00081301,0.00081301
18,11286,4.14115,5.24731,3.96736,0.35692,0.28797,0.27223,0.10029,4.3081,5.20492,4.15077,0.00080701,0.00080701,0.00080701
19,12097.1,4.16114,5.19496,4.01349,0.36169,0.32155,0.28367,0.10944,4.22169,5.13779,4.12415,0.000801011,0.000801011,0.000801011
20,12907.9,4.13111,5.1385,3.95675,0.32356,0.37901,0.28253,0.11436,4.26953,6.01226,4.12509,0.000795011,0.000795011,0.000795011
21,13131.4,4.1521,5.14978,3.95149,0.35225,0.32843,0.27954,0.10374,4.29616,6.23049,4.12684,0.000789012,0.000789012,0.000789012
22,13352.8,4.102,5.16204,3.95389,0.36179,0.3279,0.2782,0.10355,4.30479,5.87412,4.21062,0.000783013,0.000783013,0.000783013
23,13574.9,4.13066,5.1082,3.95692,0.50961,0.29358,0.28285,0.10667,4.30209,5.04171,4.13893,0.000777013,0.000777013,0.000777013
24,13886.8,4.12222,4.99209,3.92549,0.29669,0.35007,0.28992,0.10431,4.28268,5.33755,4.20795,0.000771014,0.000771014,0.000771014
