epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.047,4.4922,9.5296,4.43393,0.29979,0.17622,0.07266,0.02276,4.64812,11.3425,4.6549,0.000302377,0.000302377,0.000302377
2,917.075,4.57048,7.19169,4.41772,0.29095,0.16206,0.07485,0.0227,4.58655,10.8693,4.45131,0.000601381,0.000601381,0.000601381
3,1729.28,4.61647,7.00591,4.39669,0.29501,0.13945,0.08186,0.02607,4.63104,8.00816,4.53747,0.000896386,0.000896386,0.000896386
4,2540.5,4.58906,6.8917,4.3533,0.47979,0.17829,0.09693,0.03049,4.6846,7.61153,4.52774,0.000891002,0.000891002,0.000891002
5,3352.31,4.52015,6.73748,4.29816,0.48393,0.16258,0.12146,0.0415,4.4928,6.12689,4.39886,0.000885002,0.000885002,0.000885002
6,4163.14,4.46479,6.55505,4.27636,0.50325,0.17075,0.1378,0.04414,4.48022,5.72514,4.25099,0.000879003,0.000879003,0.000879003
7,4623.92,4.43724,6.53535,4.27438,0.51818,0.19668,0.13536,0.04378,4.46175,6.92463,4.37841,0.000873004,0.000873004,0.000873004
8,4963.04,4.36388,6.39288,4.2155,0.35923,0.16698,0.14357,0.05036,4.45209,5.55839,4.31968,0.000867004,0.000867004,0.000867004
9,5436.16,4.39232,6.12234,4.17108,0.4227,0.20883,0.161,0.05347,4.40598,5.96764,4.3619,0.000861005,0.000861005,0.000861005
10,5898.22,4.32249,6.26906,4.21272,0.5305,0.20923,0.15211,0.05348,4.34339,6.2678,4.22211,0.000855005,0.000855005,0.000855005
11,6355.98,4.31533,6.11281,4.13541,0.40394,0.23498,0.1602,0.05857,4.33161,5.86988,4.2149,0.000849006,0.000849006,0.000849006
12,6859.49,4.31908,5.99206,4.11314,0.52504,0.22334,0.17136,0.06,4.31894,7.48613,4.22243,0.000843007,0.000843007,0.000843007
13,7410.23,4.32229,5.98309,4.10698,0.45565,0.25279,0.19854,0.07277,4.29943,5.67598,4.1286,0.000837007,0.000837007,0.000837007
14,7852.29,4.30054,5.89852,4.10738,0.44437,0.24484,0.19284,0.06935,4.26555,6.31984,4.14222,0.000831008,0.000831008,0.000831008
15,8396.08,4.32305,5.83602,4.10208,0.41666,0.24904,0.19585,0.06786,4.322,6.9889,4.16825,0.000825008,0.000825008,0.000825008
16,8807.13,4.25365,5.75195,4.04943,0.25358,0.28585,0.21264,0.07585,4.37999,6.13633,4.19044,0.000819009,0.000819009,0.000819009
17,9231.56,4.26093,5.73495,4.08184,0.55959,0.24439,0.21069,0.07201,4.3712,5.7878,4.25946,0.00081301,0.00081301,0.00081301
