epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.942,2.33398,14.0923,2.20906,0.48981,0.16577,0.11056,0.03585,2.37201,11.778,2.27916,0.000302377,0.000302377,0.000302377
2,1242.44,2.33047,12.2329,2.2144,0.50373,0.19427,0.14311,0.04321,2.32918,21.8182,2.19773,0.000601744,0.000601744,0.000601744
3,1910.17,2.35499,11.9221,2.25505,0.36748,0.23273,0.15716,0.05031,2.3568,14.983,2.31002,0.000897476,0.000897476,0.000897476
4,2575.23,2.3431,11.9718,2.22369,0.53956,0.16353,0.14125,0.04369,2.40645,13.6768,2.25965,0.000892638,0.000892638,0.000892638
5,3239.38,2.3126,11.8043,2.17995,0.38683,0.23813,0.18536,0.05899,2.33695,10.8277,2.25803,0.000887184,0.000887184,0.000887184
6,3903.8,2.28366,11.4346,2.19356,0.2964,0.23117,0.19254,0.06317,2.33108,22.4651,2.26672,0.00088173,0.00088173,0.00088173
7,4567.6,2.29313,11.3412,2.20289,0.38658,0.24237,0.19028,0.06493,2.29177,13.6126,2.23546,0.000876276,0.000876276,0.000876276
8,5242.27,2.24246,11.0804,2.17606,0.2933,0.31375,0.22777,0.07904,2.28924,10.1897,2.21575,0.000870822,0.000870822,0.000870822
9,5926.47,2.25256,10.7492,2.15953,0.41211,0.26235,0.2223,0.07849,2.27833,11.2864,2.2185,0.000865368,0.000865368,0.000865368
10,6602.82,2.216,10.7662,2.14789,0.25674,0.25549,0.22994,0.0817,2.2771,11.0251,2.20393,0.000859914,0.000859914,0.000859914
11,7272.49,2.2089,10.6699,2.12555,0.48784,0.27151,0.23445,0.08159,2.25488,16.9767,2.19022,0.00085446,0.00085446,0.00085446
12,7976.84,2.19022,10.3839,2.10283,0.5095,0.28899,0.28033,0.10035,2.23168,11.443,2.16623,0.000849006,0.000849006,0.000849006
13,8666.07,2.19893,10.3743,2.11015,0.48523,0.30996,0.24763,0.09292,2.23412,10.8859,2.19308,0.000843552,0.000843552,0.000843552
14,9358.03,2.18404,10.2211,2.08948,0.32502,0.33062,0.24696,0.09246,2.18701,13.2577,2.12969,0.000838098,0.000838098,0.000838098
15,10050.7,2.19464,10.1765,2.08847,0.31416,0.3248,0.26888,0.09745,2.27698,17.3401,2.16265,0.000832644,0.000832644,0.000832644
16,10732.4,2.17118,9.97857,2.07735,0.2971,0.34114,0.26448,0.09665,2.21546,13.5551,2.14029,0.00082719,0.00082719,0.00082719
17,11416.1,2.17608,10.0063,2.08434,0.52186,0.32833,0.29611,0.10642,2.21678,12.2191,2.14033,0.000821736,0.000821736,0.000821736
18,12093.9,2.15682,9.99055,2.08424,0.36438,0.345,0.28666,0.10237,2.22961,13.076,2.16811,0.000816282,0.000816282,0.000816282
19,12778.1,2.17089,9.93122,2.11114,0.31601,0.39535,0.28566,0.11148,2.17378,11.8653,2.12222,0.000810828,0.000810828,0.000810828
20,13472.4,2.14394,9.68268,2.0667,0.36435,0.32503,0.30741,0.12146,2.18636,12.5438,2.13104,0.000805374,0.000805374,0.000805374
21,14170.1,2.15762,9.84921,2.07745,0.33478,0.31557,0.27068,0.10031,2.19597,12.8106,2.12904,0.00079992,0.00079992,0.00079992
22,14856.8,2.13964,9.71052,2.08777,0.53583,0.34595,0.2917,0.10822,2.21283,11.8138,2.15903,0.000794466,0.000794466,0.000794466
23,15539.9,2.13462,9.59766,2.05425,0.3749,0.30712,0.3003,0.11323,2.20354,11.1389,2.11652,0.000789012,0.000789012,0.000789012
24,16220.6,2.13193,9.45216,2.04045,0.33315,0.35702,0.31745,0.11946,2.22751,11.8749,2.15884,0.000783558,0.000783558,0.000783558
25,16892.2,2.13291,9.50058,2.04001,0.55119,0.31033,0.30483,0.11918,2.20287,9.65485,2.1074,0.000778104,0.000778104,0.000778104
26,17572.6,2.12909,9.34851,2.05018,0.52082,0.34079,0.28706,0.11059,2.18655,9.91247,2.11326,0.00077265,0.00077265,0.00077265
27,18255.7,2.12525,9.5619,2.0706,0.48545,0.33023,0.3034,0.11666,2.17434,12.2166,2.11333,0.000767196,0.000767196,0.000767196
28,18938.5,2.11427,9.23464,2.025,0.51088,0.34511,0.33405,0.12283,2.18534,10.5269,2.0891,0.000761742,0.000761742,0.000761742
29,19623.5,2.12643,9.15612,2.02424,0.34916,0.38302,0.33038,0.12581,2.18439,11.1446,2.09639,0.000756288,0.000756288,0.000756288
30,20204.1,2.11409,9.10839,2.02332,0.36831,0.38861,0.33481,0.12871,2.18569,14.0497,2.10766,0.000750834,0.000750834,0.000750834
31,20884.8,2.10095,9.14412,2.02747,0.51083,0.34919,0.34011,0.13385,2.17807,10.4341,2.12432,0.00074538,0.00074538,0.00074538
32,21560.1,2.10429,8.94754,2.02883,0.43414,0.35547,0.3372,0.12649,2.24896,11.9379,2.15229,0.000739926,0.000739926,0.000739926
33,22225.5,2.10848,8.98498,2.02297,0.55263,0.37908,0.3358,0.12893,2.18961,11.9439,2.11379,0.000734472,0.000734472,0.000734472
34,22890.4,2.10223,9.0211,2.01921,0.39998,0.39234,0.33329,0.13147,2.18581,12.7899,2.10061,0.000729018,0.000729018,0.000729018
35,23473.4,2.08537,8.99868,2.01954,0.37378,0.41919,0.34212,0.13514,2.16933,11.9027,2.10485,0.000723564,0.000723564,0.000723564
36,24136.6,2.08129,8.85043,2.00993,0.40016,0.39872,0.35711,0.13316,2.19301,11.5343,2.10892,0.00071811,0.00071811,0.00071811
37,24800.2,2.08715,8.9346,2.0056,0.39725,0.31428,0.32673,0.12797,2.17969,12.12,2.1157,0.000712656,0.000712656,0.000712656
38,25373,2.07798,8.80415,2.00908,0.38635,0.4223,0.36758,0.14459,2.18344,12.2967,2.10063,0.000707202,0.000707202,0.000707202
39,26036.1,2.09039,8.74783,1.99723,0.56906,0.38984,0.35852,0.14071,2.16592,9.35835,2.09216,0.000701748,0.000701748,0.000701748
40,26611.7,2.08219,8.73915,1.99619,0.43002,0.38658,0.36781,0.13801,2.20589,13.7232,2.1317,0.000696294,0.000696294,0.000696294
41,27182.1,2.06835,8.65178,1.99137,0.40305,0.42561,0.3746,0.14564,2.16847,13.2653,2.09009,0.00069084,0.00069084,0.00069084
42,27638,2.06066,8.63068,1.99224,0.38749,0.40265,0.35598,0.14404,2.17646,11.4454,2.12403,0.000685386,0.000685386,0.000685386
43,28200.8,2.07834,8.45432,1.99691,0.43316,0.4004,0.36224,0.1479,2.20042,10.7574,2.13392,0.000679932,0.000679932,0.000679932
44,28783.2,2.06069,8.37458,1.99386,0.41197,0.40136,0.37286,0.14993,2.21342,11.4931,2.12106,0.000674478,0.000674478,0.000674478
